shading_percent,temperature_c,soil_moisture,yield_kg
51.9,24.4,69.5,7.42
61.0,24.1,66.6,6.42
32.0,24.3,78.2,8.65
65.1,26.0,64.1,8.23
56.5,23.2,63.4,8.09
49.0,24.6,58.7,12.74
45.8,21.0,56.6,13.04
53.0,20.7,54.4,13.17
59.0,24.0,53.0,14.45
43.9,25.0,60.5,13.12
73.9,24.4,55.5,13.22
46.2,23.9,53.0,16.74
28.4,23.7,53.0,16.77
41.1,23.5,64.5,8.08
72.8,24.2,68.4,8.4
37.8,21.9,60.5,9.46
30.2,22.8,54.8,18.96
40.7,23.2,54.8,14.74
57.7,24.7,61.2,12.15
30.3,23.2,62.3,16.1
35.6,24.6,69.5,7.37
64.3,26.2,60.9,10.8
38.9,28.1,61.6,8.55
33.2,23.6,73.1,10.6
45.3,22.4,64.1,11.89
71.2,22.0,71.7,4.64
42.1,24.3,60.2,18.42
47.6,21.9,52.2,15.4
45.5,23.6,58.0,16.14
18.2,28.8,65.9,10.31
38.3,23.8,62.7,10.26
37.2,25.2,62.7,15.89
48.2,26.9,48.3,10.55
65.6,26.6,76.4,6.03
63.8,28.3,71.3,7.95
35.4,24.1,70.2,8.85
66.8,22.1,70.6,6.75
70.7,24.9,65.9,9.58
54.6,24.8,59.8,11.09
29.1,23.6,67.7,11.47
46.2,21.8,56.6,19.27
24.5,23.0,55.8,16.21
41.4,21.9,67.4,10.32
37.3,27.1,65.6,11.62
38.9,26.8,71.0,11.65
72.6,23.9,70.2,8.04
28.1,26.3,68.4,11.3
57.6,21.8,50.1,10.16
28.2,21.7,59.4,15.62
57.2,25.4,53.0,13.5
67.4,23.3,54.8,12.19
54.1,28.2,63.4,9.8
47.5,22.1,62.7,9.64
29.1,21.7,50.1,13.42
67.1,25.8,69.9,7.57
40.5,28.6,63.4,11.0
52.7,24.7,58.0,8.48
37.6,23.3,54.8,17.52
39.6,24.0,66.3,13.04
28.3,22.6,70.6,12.17
47.4,23.9,67.4,8.27
61.1,24.1,60.5,9.41
61.6,24.1,63.4,9.93
41.5,25.1,66.3,9.98
56.3,25.1,59.8,8.12
31.0,28.2,61.6,12.06
50.9,28.0,76.0,9.13
35.8,25.2,65.6,6.29
35.0,25.6,60.2,14.81
27.0,26.5,63.4,11.66
40.9,24.5,68.1,9.74
15.9,27.0,71.3,12.58
29.4,24.9,68.1,10.07
49.1,25.8,71.3,6.79
54.6,24.0,64.5,8.44
30.1,23.2,63.4,6.17
57.4,26.0,74.2,9.48
71.7,27.2,69.9,6.02
64.3,24.9,75.6,6.5
38.0,25.7,60.9,11.76
56.7,22.2,65.2,9.47
22.1,21.7,57.6,17.81
70.6,18.6,50.4,11.2
37.3,26.2,68.8,8.1
53.5,20.4,59.1,11.0
55.6,22.1,60.5,10.62
50.0,24.6,62.3,11.67
69.6,19.4,56.6,13.35
33.8,24.0,69.9,12.17
29.9,24.5,54.0,15.54
35.6,24.1,64.5,12.12
31.3,26.3,60.9,10.88
63.2,23.6,61.2,16.17
38.7,20.8,55.5,10.74
34.6,24.4,57.6,16.26
52.5,29.0,77.8,4.55
50.7,25.9,65.9,9.55
55.4,23.2,56.2,16.87
30.7,24.2,57.3,14.86
55.9,24.6,50.8,14.93
47.4,22.5,60.9,12.84
55.5,25.2,56.2,13.36
74.0,24.1,57.6,8.69
28.9,26.2,73.8,10.84
26.7,29.3,59.8,9.16
68.9,22.9,56.2,12.17
65.5,22.4,63.8,8.41
37.8,25.0,63.0,12.83
62.0,26.0,64.8,10.47
