shading_percent,temperature_c,soil_moisture,yield_kg
70.5,27.6,71.7,9.19
46.6,23.9,61.6,20.86
23.7,26.7,55.8,22.09
48.0,22.9,65.9,15.68
40.5,25.1,68.8,13.69
36.4,26.5,69.2,13.81
39.7,26.1,51.9,24.92
33.3,23.5,66.3,19.24
77.6,20.6,53.0,16.26
57.2,28.6,68.1,9.6
55.1,21.1,56.6,17.95
64.1,21.8,51.5,19.49
50.5,26.5,54.8,20.56
36.8,23.3,60.2,19.11
27.5,27.2,69.2,16.88
46.7,25.3,61.2,19.14
19.0,24.7,57.6,26.3
36.9,23.4,69.2,17.57
40.1,23.6,65.2,15.94
53.7,25.8,60.2,15.22
37.3,26.5,65.6,18.86
32.6,22.0,50.8,22.41
23.1,23.8,67.0,17.77
37.6,21.7,58.7,20.72
54.9,21.5,59.1,15.79
42.7,23.5,65.2,13.42
58.2,23.0,62.0,14.63
64.5,26.9,58.7,17.19
48.0,27.7,76.4,16.31
57.8,28.9,68.4,7.93
71.8,22.9,56.2,17.17
54.5,26.1,66.6,16.79
69.9,24.9,51.2,21.42
30.9,23.1,55.5,19.99
29.5,24.1,65.9,12.67
71.3,26.6,62.7,15.49
44.3,24.0,72.4,19.03
54.8,26.1,51.5,17.35
29.1,26.2,62.7,16.98
64.9,25.0,63.8,13.99
36.3,24.5,54.8,23.54
31.6,25.0,58.0,21.08
23.5,25.6,58.7,22.9
68.2,21.3,54.4,17.39
80.4,28.9,65.2,11.34
61.8,28.0,58.0,17.6
49.8,19.5,63.8,15.54
46.5,24.6,58.7,18.11
64.4,27.8,65.6,13.53
42.6,27.2,67.7,11.29
32.8,23.7,61.6,20.9
37.7,22.6,53.3,19.82
40.3,20.6,56.9,19.74
30.0,23.8,67.4,17.07
31.3,25.7,62.0,17.47
33.1,24.3,58.0,18.56
50.3,22.1,60.5,16.83
48.6,27.2,59.8,18.19
66.5,27.3,65.2,13.11
42.0,26.2,71.3,12.58
62.0,26.0,57.6,23.56
43.4,26.5,60.5,19.66
31.0,23.4,55.5,24.88
58.9,25.3,61.2,17.09
60.4,22.8,62.0,17.49
48.1,24.4,61.2,18.96
42.6,24.7,64.8,17.7
30.3,24.4,56.6,22.39
29.0,22.5,55.1,23.39
60.3,27.5,62.0,17.06
49.2,23.9,67.0,12.67
51.7,22.4,58.0,15.54
38.0,26.9,63.8,20.41
17.7,22.0,64.1,17.43
49.1,22.6,55.8,22.93
42.9,26.3,62.3,20.35
20.1,26.1,62.0,21.38
67.1,22.4,62.7,13.33
81.0,25.8,66.3,10.04
60.2,24.0,71.0,13.8
59.8,23.5,64.5,11.88
48.4,25.0,71.7,10.32
44.1,22.6,55.5,27.2
39.5,25.6,73.8,13.91
27.7,23.5,61.2,18.53
40.3,23.0,59.4,21.83
47.2,27.6,64.8,13.48
